"";"index";"all_text";"vuln"
"14";"4912";"bluetooth fix possible info leak in bt_sock_recvmsg in case the socket is already shutting down bt_sock_recvmsg return with 0 without updating msg_namelen leading to net socket c leaking the local uninitialized sockaddr_storage variable to userland 128 byte of kernel stack memory fix this by moving the msg_namelen assignment in front of the shutdown test cc marcel holtmann marcel holtmann org cc gustavo padovan gustavo padovan org cc johan hedberg johan hedberg gmail com signed off by mathias krause minipli googlemail com signed off by david s miller davem davemloft net";"bad"
"15";"11197";"avcodec hevcdec check nb_sps signed off by michael niedermayer michael niedermayer cc cherry picked from commit bc406744620710911de9157eafa3e61d0246566f signed off by michael niedermayer michael niedermayer cc";"good"
"16";"12852";"fix remove deletion request from pull request template file either provide checkboxes to select correct answer or ask to remove superfluous line but not both i d rather stick with the checkboxes so i removed the deletion request";"good"
"17";"4604";"fix crash in fuzzed wasm r2_hoobr_consume_init_expr";"bad"
"18";"9487";"move request conversion to generic code signed off by michal čihař michal cihar com";"good"
"19";"3461";"merge pull request from ghsa mhfc 6rhg fxp3 fix possible personal data leak";"bad"
"20";"5791";"fix stored x in central column thanks to ashish kamble for reporting the vulnerability signed off by madhura jayaratne madhura cj gmail com";"bad"
"21";"7581";"regen inc";"good"
"22";"11176";"jerryx_arg add 0 when transforming string 1827 related issue 1824 jerryscript dco 1 0 signed off by zidong jiang zidong jiang intel com";"good"
"23";"10171";"security a lot of security fix";"good"
"24";"7710";"merge branch 4 2 zero attachment in forward txns into 4 2 11 releng";"good"
"25";"7108";"update authentication php";"good"
"26";"2220";"avformat mm add missing chunksize check fix out of array read fix mm crash 01b6c5d85f9d9f40f4e879896103e9f5b222816a found by paul ch paulcher icloud com 1st hunk by paul ch paulcher icloud com tested by paul ch paulcher icloud com signed off by michael niedermayer michael niedermayer cc";"bad"
"27";"11011";"fix swapping aa bboxes found in rtcw sp";"good"
"28";"3467";"merge pull request from ghsa 3hw5 q855 g6cw prevent the special __proto__ property name from being mixed in to prevent polluting the prototoype of the object being mixed into in the jqmix function in jq j";"bad"
"29";"2951";"fix for issue 745 and issue 746 from doran moppert";"bad"
"30";"9462";"merge pull request 3864 from habbie 3 4 x noppa stop using the boost ppa";"good"
"31";"10193";"8250_pci fix kernel panic when pch_uart is disabled currently setup function is not set a a result when detecting our ioh s uart device without pch_uart kernel panic occurs at the following of pciserial_init_ports for i 0 i nr_ports i if quirk setup priv board serial_port i break so this patch add the setup function we can use pci_default_setup because our ioh s uart is compatible with 16550 signed off by tomoya morinaga tomoya linux dsn lapis semi com acked by alan cox alan linux intel com signed off by greg kroah hartman gregkh suse de";"good"
"32";"10263";"merge tag for linus of git git kernel org pub scm virt kvm kvm pull kvm update from paolo bonzini arm hyp mode stub support kexec kdump on 32 bit improved pmu support virtual interrupt controller performance improvement support for userspace virtual interrupt controller slower but necessary for kvm on the weird broadcom socs used by the raspberry pi 3 mips basic support for hardware virtualization imgtec p5600 p6600 i6400 and cavium octeon iii ppc in kernel acceleration for vfio s390 support for guest without storage key adapter interruption suppression x86 usual range of nvmx improvement notably nested ept support for accessed and dirty bit emulation of cpl3 cpuid faulting generic first part of vcpu thread request api kvm_stat improvement tag for linus of git git kernel org pub scm virt kvm kvm 227 commits kvm nvmx don t validate disabled secondary control kvm put back ifndef config_s390 around kvm_vcpu_kick revert kvm support vcpu based gfn hva cache tool kvm fix top level makefile kvm x86 don t hold kvm lock in kvm_set_gsi_routing kvm documentation remove vm mmap documentation kvm nvmx remove superfluous vmx instruction fault check kvm x86 fix emulation of rsm and iret instruction kvm mark request that need synchronization kvm return if kvm_vcpu_wake_up did wake up the vcpu kvm add explicit barrier to kvm_vcpu_kick kvm perform a wake_up in kvm_make_all_cpus_request kvm mark request that do not need a wakeup kvm remove ifndef config_s390 around kvm_vcpu_wake_up kvm x86 always use kvm_make_request instead of set_bit kvm add kvm_ test clear _request to replace test clear _bit s390 kvm cpu model support for msa6 msa7 and msa8 kvm x86 remove irq disablement around kvm_set_clock kvm_get_clock kvm better mwait emulation for guest kvm x86 virtualize cpuid faulting";"good"
"33";"1844";"auth cephx add authorizer challenge allow the accepting side of a connection to reject an initial authorizer with a random challenge the connecting side then ha to respond with an updated authorizer proving they are able to decrypt the service s challenge and that the new authorizer wa produced for this specific connection instance the accepting side requires this challenge and response unconditionally if the client side advertises they have the feature bit server wishing to require this improved level of authentication simply have to require the appropriate feature signed off by sage weil sage redhat com cherry picked from commit f80b848d3f830eb6dba50123e04385173fa4540b conflict src auth auth h src auth cephx cephxprotocol cc src auth cephx cephxprotocol h src auth none authnoneprotocol h src msg dispatcher h src msg async asyncconnection cc const_iterator decode v decode asyncconnection ctor arg noise get_random_bytes not cct random";"bad"
"34";"5965";"fixed issue security 15257 potential x in cpdb by super admin thanks to creosote dev with an x admin saving user full_name is filetered";"bad"
"35";"737";"can kvaser_usb kvaser_usb_leaf fix some info leak to usb device uninitialized kernel memory can leak to usb device fix this by using kzalloc instead of kmalloc signed off by xiaolong huang butterflyhuangxx gmail com fix 7259124eac7d can kvaser_usb split driver into kvaser_usb_core c and kvaser_usb_leaf c cc linux stable stable vger kernel org v4 19 signed off by marc kleine budde mkl pengutronix de";"bad"
"36";"8666";"sync with 2 16 5 maint 2 16 git 2 16 5 git 2 15 3 git 2 14 5 submodule config ban submodule path that start with a dash submodule config ban submodule url that start with dash submodule helper use to signal end of clone option";"good"
"37";"700";"fixed unknown read reported by os fuzz http os fuzz com testcase detail 5681169970757632";"bad"
"38";"12956";"fix x injection";"good"
"39";"6734";"sanitizer var_memotri avant de l utiliser g0uz";"good"
"40";"11551";"fix memory corruption on empty raster query 4778";"good"
"41";"978";"x applicationhelper get_sql_like o sqlhelper get_sql_like signed off by morita shintaro shin sysphonic com";"bad"
"42";"9193";"approaching yodl 3 06 00 see the changelog";"good"
"43";"8760";"ks conditionally remove the form element from allowedposttags to avoid backwards compatibility issue form is re added if a custom filter ha added the input or select element to allowedposttags built from http develop svn wordpress org branch 5 0 43994 git svn id http core svn wordpress org branch 5 0 43826 1a063a9b 81f0 0310 95a4 ce76da25c4cd";"good"
"44";"5333";"several security improvement new feature one time item view for anonymous user";"bad"
"45";"464";"release 3 17 14 190902";"bad"
"46";"7910";"man document the new sd_bus_enqueue_for_read api call";"good"
"47";"12538";"merge pull request 1360 from greezybacon issue 1292 oops properly format text thread body reviewed by peter rotich peter osticket com";"good"
"48";"1766";"timing attack fix from security expert http arcturussecurity com";"bad"
"49";"1680";"x bug escaping cliptext returned";"bad"
"50";"4966";"net update the sysctl permission handler to test effective uid gid modify the code to use current_euid and in_egroup_p a in done in f proc proc_sysctl c test_perm cc stable vger kernel org reviewed by eric sandeen sandeen redhat com reported by eric sandeen sandeen redhat com signed off by eric w biederman ebiederm xmission com signed off by linus torvalds torvalds linux foundation org";"bad"
"51";"12968";"fix 6537 entering a very large number for idle_timeout is unchecked crash ui";"good"
"52";"11166";"mailmap add entry for john paul adrian glaubitz 6015";"good"
"53";"2322";"block blk_init_allocated_queue set q fq a null in the fail case we find the memory use after free issue in __blk_drain_queue on the kernel 4 14 after read the latest kernel 4 18 rc6 we think it ha the same problem memory is allocated for q fq in the blk_init_allocated_queue if the elevator init function called with error return it will run into the fail case to free the q fq then the __blk_drain_queue us the same memory after the free of the q fq it will lead to the unpredictable event the patch is to set q fq a null in the fail case of blk_init_allocated_queue fix commit 7c94e1c157a2 block introduce blk_flush_queue to drive flush machinery cc stable vger kernel org reviewed by ming lei ming lei redhat com reviewed by bart van assche bart vanassche wdc com signed off by xiao jin jin xiao intel com signed off by jens axboe axboe kernel dk";"bad"
"54";"9435";"possible problem with e6afc8ac udp remove header from udp packet before queueing paul moore tracked a regression caused by a recent commit which mistakenly assumed that sk_filter could be avoided if socket had no current bpf filter the intent wa to avoid udp_lib_checksum_complete overhead but sk_filter also check skb_pfmemalloc and security_sock_rcv_skb so better call it fix e6afc8ace6dd udp remove header from udp packet before queueing signed off by eric dumazet edumazet google com reported by paul moore paul paul moore com tested by paul moore paul paul moore com tested by stephen smalley sd tycho nsa gov cc samanthakumar samanthakumar google com signed off by david s miller davem davemloft net";"good"
"55";"907";"netfilter nf_tables fix flush ruleset chain dependency jumping between chain doesn t mix well with flush ruleset rule from a different chain and set element may still refer to u 353 373791 cut here 353 373845 kernel bug at net netfilter nf_tables_api c 1159 353 373896 invalid opcode 0000 1 smp 353 373942 module linked in intel_powerclamp uas iwldvm iwlwifi 353 374017 cpu 0 pid 6445 comm 31c3 nft not tainted 3 18 0 98 353 374069 hardware name lenovo 5129cto 5129cto bios 6qet47ww 1 17 07 14 2010 353 375018 call trace 353 375046 ffffffff81964c31 nf_tables_commit 0x381 0x540 353 375101 ffffffff81949118 nfnetlink_rcv 0x3d8 0x4b0 353 375150 ffffffff81943fc5 netlink_unicast 0x105 0x1a0 353 375200 ffffffff8194438e netlink_sendmsg 0x32e 0x790 353 375253 ffffffff818f398e sock_sendmsg 0x8e 0xc0 353 375300 ffffffff818f36b9 move_addr_to_kernel part 20 0x19 0x70 353 375357 ffffffff818f44f9 move_addr_to_kernel 0x19 0x30 353 375410 ffffffff819016d2 verify_iovec 0x42 0xd0 353 375459 ffffffff818f3e10 ___sys_sendmsg 0x3f0 0x400 353 375510 ffffffff810615fa native_sched_clock 0x2a 0x90 353 375563 ffffffff81176697 acct_account_cputime 0x17 0x20 353 375616 ffffffff8110dc78 account_user_time 0x88 0xa0 353 375667 ffffffff818f4bbd __sys_sendmsg 0x3d 0x80 353 375719 ffffffff81b184f4 int_check_syscall_exit_work 0x34 0x3d 353 375776 ffffffff818f4c0d sys_sendmsg 0xd 0x20 353 375823 ffffffff81b1826d system_call_fastpath 0x16 0x1b release object in this order rule set chain table to make sure no reference to chain are held anymore reported by asbjoern sloth toennesen asbjorn asbjorn biz signed off by pablo neira ayuso pablo netfilter org";"bad"
"56";"8111";"check blacklist when renaming file";"good"
"57";"291";"http github com imagemagick imagemagick issue 1612";"bad"
"58";"3754";"format install params";"bad"
"59";"4399";"http github com imagemagick imagemagick issue 354";"bad"
"60";"12419";"fixed issue security csrf cookie missing http only parameter kindly reported by pavol michalec frederik koľbík";"good"
"61";"1729";"don t treat symbol args different to string in ffi_lib symbol were sent directly to ffi dynamiclibrary open in the first attempt resulting in a typeerror so that only the mangled library name wa actually loaded this move conversion to string to the front so that subsequent call can assume string only";"bad"
"62";"4582";"kdfa use openssl for hmac not tpm while not reachable in the current code base tool a potential security bug lurked in tpm_kdfa if using that routine for an hmac authorization the hmac wa calculated using the tpm a user of an object wishing to authenticate via hmac would expect that the password is never sent to the tpm however since the hmac calculation relies on password and is performed by the tpm the password end up being sent in plain text to the tpm the fix is to use openssl to generate the hmac on the host fix cve 2017 7524 signed off by william robert william c robert intel com";"bad"
"63";"9086";"add wcast qual and cast away one false positive where we use a const u_char variable for an iovec from within the libcrypto engine callback ok millert";"good"
"64";"5340";"protection from object injection in cart http github com opencart opencart issue 1534";"bad"
"65";"12384";"fixed cs specificity problem with tinymce toolbar";"good"
"66";"12036";"misc update fix buffer overflow in updater on 32 bit build parsing of update status file with a size of 4294967295 or more lead to an integer truncation in a call to malloc and a subsequent buffer overflow this happened prior to checking the file signature the commit fix this by disallowing overly large status file above 65k in practice signed off by jean baptiste kempf jb videolan org";"good"
"67";"2888";"propogate_mnt handle the first propogated copy being a slave when the first propgated copy wa a slave the following oops would result bug unable to handle kernel null pointer dereference at 0000000000000010 ip ffffffff811fba4e propagate_one 0xbe 0x1c0 pgd bacd4067 pud bac66067 pmd 0 oops 0000 1 smp module linked in cpu 1 pid 824 comm mount not tainted 4 6 0 rc5userns 1523 hardware name bochs bochs bios bochs 01 01 2007 task ffff8800bb0a8000 ti ffff8800bac3c000 task ti ffff8800bac3c000 rip 0010 ffffffff811fba4e ffffffff811fba4e propagate_one 0xbe 0x1c0 rsp 0018 ffff8800bac3fd38 eflags 00010283 rax 0000000000000000 rbx ffff8800bb77ec00 rcx 0000000000000010 rdx 0000000000000000 rsi ffff8800bb58c000 rdi ffff8800bb58c480 rbp ffff8800bac3fd48 r08 0000000000000001 r09 0000000000000000 r10 0000000000001ca1 r11 0000000000001c9d r12 0000000000000000 r13 ffff8800ba713800 r14 ffff8800bac3fda0 r15 ffff8800bb77ec00 f 00007f3c0cd9b7e0 0000 g ffff8800bfb00000 0000 knlgs 0000000000000000 c 0010 d 0000 e 0000 cr0 0000000080050033 cr2 0000000000000010 cr3 00000000bb79d000 cr4 00000000000006e0 stack ffff8800bb77ec00 0000000000000000 ffff8800bac3fd88 ffffffff811fbf85 ffff8800bac3fd98 ffff8800bb77f080 ffff8800ba713800 ffff8800bb262b40 0000000000000000 0000000000000000 ffff8800bac3fdd8 ffffffff811f1da0 call trace ffffffff811fbf85 propagate_mnt 0x105 0x140 ffffffff811f1da0 attach_recursive_mnt 0x120 0x1e0 ffffffff811f1ec3 graft_tree 0x63 0x70 ffffffff811f1f6b do_add_mount 0x9b 0x100 ffffffff811f2c1a do_mount 0x2aa 0xdf0 ffffffff8117efbe strndup_user 0x4e 0x70 ffffffff811f3a45 sys_mount 0x75 0xc0 ffffffff8100242b do_syscall_64 0x4b 0xa0 ffffffff81988f3c entry_syscall64_slow_path 0x25 0x25 code 00 00 75 ec 48 89 0d 02 22 22 01 8b 89 10 01 00 00 48 89 05 fd 21 22 01 39 8e 10 01 00 00 0f 84 e0 00 00 00 48 8b 80 d8 00 00 00 48 8b 50 10 48 89 05 df 21 22 01 48 89 15 d0 21 22 01 8b 53 30 rip ffffffff811fba4e propagate_one 0xbe 0x1c0 rsp ffff8800bac3fd38 cr2 0000000000000010 end trace 2725ecd95164f217 this oops happens with the namespace_sem held and can be triggered by non root user an all around not pleasant experience to avoid this scenario when finding the appropriate source mount to copy stop the walk up the mnt_master chain when the first source mount is encountered further rewrite the walk up the last_source mnt_master chain so that it is clear what is going on the reason why the first source mount is special is that it it s mnt_parent is not a mount in the dest_mnt propagation tree and a such termination condition based up on the dest_mnt mount propgation tree do not make sense to avoid other kind of confusion last_dest is not changed when computing last_source last_dest is only used once in propagate_one and that is above the point of the code being modified so changing the global variable is meaningless and confusing cc stable vger kernel org fix f2ebb3a921c1ca1e2ddd9242e95a1989a50c4c68 smarter propagate_mnt reported by tycho andersen tycho andersen canonical com reviewed by seth forshee seth forshee canonical com tested by seth forshee seth forshee canonical com signed off by eric w biederman ebiederm xmission com";"bad"
"68";"10895";"arm64 don t pull uaccess h into s split asm only part of arm64 uaccess h into a new header and use that from s signed off by al viro viro zeniv linux org uk";"good"
"69";"7439";"module_system date helper added new method which calculates the number of working day for a given month and year";"good"
"70";"4553";"fix tightened sanitisation in some view element on the index filter tool organisation landing page a reported by tien phan and david maciejak of fortinet s fortiguard lab";"bad"
"71";"1004";"netkvm bz 1169718 more rigoruous testing of incoming packet signed off by joseph hindin yhindin rehat com";"bad"
"72";"129";"detect non existing referenced alpha image fix 123";"bad"
"73";"4908";"fix sql injection issue cve 2013 3081";"bad"
"74";"769";"yang parser bugfix allocate more pattern than currently needed fix 740";"bad"
"75";"336";"further harden against malicious epubs and produce error message";"bad"
"76";"5825";"bug 4578 security x vulnerability in table print view signed off by madhura jayaratne madhura cj gmail com";"bad"
"77";"2817";"1320452 cleaning up some remaining tag group x issue";"bad"
"78";"4506";"fix transit path validation cve 2017 6594 commit f469fc6 2010 10 02 inadvertently caused the previous hop realm to not be added to the transit path of issued ticket this may in some case enable bypass of capath policy in heimdal version 1 5 through 7 2 note this may break site that rely on the bug with the bug some incomplete capaths worked that should not have these may now break authentication in some cross realm configuration";"bad"
"79";"8643";"system h use proper setting with sun c a well system h selects the proper sun setting when __sunpro_c is defined the sun compiler doe not define it when compiling c file i m adding a check also on __sunpro_cc to allow curl to work properly also when used in a c project on sun solaris close 3181";"good"
"80";"6321";"0008301 sql injection gettestcasesummary php";"bad"
"81";"2068";"parser don t set more map when we don t have any if the scanner indicates that we might have something which look like a map but the parser in fact fails to create that map we will try to access the map regardless stop doing that testcase xkb_keymap kb_keymap signed off by daniel stone daniel collabora com";"bad"
"82";"2933";"make sure eapol body is big enough for a eapol_rsn_key a pointer to a eapol_rsn_key is set on the packet presuming the whole eapol_rsn_key is there that s not always the case for fuzzed malicious capture bug 11585 change id ib94b8aceef444c7820e43b969596efdb8dbecccd reviewed on http code wireshark org review 15540 reviewed by michael mann mmann78 netscape net petri dish michael mann mmann78 netscape net tested by petri dish buildbot buildbot no reply wireshark org reviewed by anders broman a broman58 gmail com";"bad"
"83";"3589";"do not attempt to decode ape file with no frame this fix invalid read writes with this sample http packetstorm linuxsecurity com 1103 exploit vlc105 do txt";"bad"
"84";"6463";"fix self x on file upload the filename wa used without escaping in the scucess message shown after upload";"bad"
"85";"5022";"arm 7527 1 uaccess explicitly check __user pointer when cpu_use_domains the get put _user macro don t perform range checking on the provided __user address when cpu_has_domains this patch reworks the out of line assembly accessors to check the user address against a specified limit returning efault if is is out of range will changed get_user register allocation to match put_user rmk fixed building on older arm architecture reported by catalin marina catalin marina arm com signed off by will deacon will deacon arm com cc stable vger kernel org signed off by russell king rmk kernel arm linux org uk";"bad"
"86";"12041";"fix incorrect bound check from alexander cherepanov";"good"
"87";"6275";"fix a potential x in voucher testing";"bad"
"88";"12148";"version bump";"good"
"89";"12842";"issue auto assignment log this address an issue on the forum where the auto assignment thread event configurable via help topic us the email of the user rather than the user s name this add the correct function to retrieve the user s name if the user ha an account";"good"
"90";"3741";"secgsi do not build package libxrdsecgsigmapldap 4 so the way the ldap query is implemented may represent a security threat any related building and packaging reference is removed the code is left in place for the time being to remind it functionality in the case a sanitized version is required";"bad"
"91";"5159";"x86 x32 correct invalid use of user timespec in the kernel the x32 case for the recvmsg timout handling is broken asmlinkage long compat_sys_recvmmsg int fd struct compat_mmsghdr __user mmsg unsigned int vlen unsigned int flag struct compat_timespec __user timeout int datagrams struct timespec ktspec if flag msg_cmsg_compat return einval if compat_use_64bit_time return __sys_recvmmsg fd struct mmsghdr __user mmsg vlen flag msg_cmsg_compat struct timespec timeout the timeout pointer parameter is provided by userland hence the __user annotation but for x32 syscalls it s simply cast to a kernel pointer and is passed to __sys_recvmmsg which will eventually directly dereference it for both reading and writing other caller to __sys_recvmmsg properly copy from userland to the kernel first the bug wa introduced by commit ee4fa23c4bfc compat use compat_use_64bit_time in net compat c and should affect all kernel since 3 4 and perhaps vendor kernel if they backported x32 support along with this code note that config_x86_x32_abi get enabled at build time and only if config_x86_x32 is enabled and ld can build x32 executables other us of compat_use_64bit_time seem fine this address cve 2014 0038 signed off by pax team pageexec freemail hu signed off by h peter anvin hpa linux intel com cc stable vger kernel org v3 4 signed off by linus torvalds torvalds linux foundation org";"bad"
"92";"260";"fix do not use the tmp directory http github com linuxdeepin deepin clone issue 16 http bugzilla opensuse org show_bug cgi id 1130388";"bad"
"93";"12017";"merge pull request 1015 from jessedobbelaere blog geturlforblock capitalized capitalize blog module action name";"good"
"94";"10061";"merge branch for linus of git git kernel org pub scm linux kernel git rostedt linux 2 6 ktest for linus of git git kernel org pub scm linux kernel git rostedt linux 2 6 ktest ktest add stop_test_after to stop the test after a period of time ktest monitor kernel while running of user test ktest fix bug where the test would not end after failure ktest add bisect_files to run git bisect on path ktest add bisect_skip ktest add manual bisect ktest handle kernel before make oldnoconfig ktest start failure timeout on panic too ktest print logfile name on failure";"good"
"95";"8450";"when moving foldes move all recognized filetypes close 1305";"good"
"96";"5579";"codec schroedinger fix potential buffer overflow the variable len is a raw 32 bit value read using getdwbe if this value is larger than uint32_max sizeof eos this will cause an integer overflow in the subsequent call to malloc and finally a buffer overflow when calling memcpy we fix this by checking len accordingly signed off by jean baptiste kempf jb videolan org";"bad"
"97";"1617";"ensure authorization before deleting from store this fix bug 1076506 change id i3794c14fe523a9a27e943d73dd0248489d2b91f6";"bad"
"98";"12677";"0008202 potential cross site scripting flaw git svn id http mantisbt svn sourceforge net svnroot mantisbt trunk 4493 f5dc347c c33d 0410 90a0 b07cc1902cb9";"good"
"99";"284";"http github com imagemagick imagemagick issue 1597";"bad"
"100";"5182";"futex fix error in nested key ref counting futex_wait is leaking key reference due to futex_wait_setup acquiring an additional reference via the queue_lock routine the nested key ref counting ha been masking bug and complicating code analysis queue_lock is only called with a previously ref counted key so remove the additional ref counting from the queue_ un lock function also futex_wait_requeue_pi drop one key reference too many in unqueue_me_pi remove the key reference handling from unqueue_me_pi this wa paired with a queue_lock in futex_lock_pi so the count remains unchanged document remaining nested key ref counting site signed off by darren hart dvhart linux intel com reported and tested by matthieu fertré matthieu fertre kerlabs com reported by louis rilling louis rilling kerlabs com cc peter zijlstra peterz infradead org cc eric dumazet eric dumazet gmail com cc john kacur jkacur redhat com cc rusty russell rusty rustcorp com au lkml reference 4cbb17a8 70401 linux intel com signed off by thomas gleixner tglx linutronix de cc stable kernel org";"bad"
"101";"11143";"improve redirect handling built from http develop svn wordpress org trunk 40689 git svn id http core svn wordpress org trunk 40552 1a063a9b 81f0 0310 95a4 ce76da25c4cd";"good"
"102";"2826";"usb mct_u232 add sanity checking in probe an attack using the lack of sanity checking in probe is known this patch check for the existence of a second port cve 2016 3136 signed off by oliver neukum oneukum suse com cc stable vger kernel org johan add error message signed off by johan hovold johan kernel org signed off by greg kroah hartman gregkh linuxfoundation org";"bad"
"103";"6757";"merge tag drm fix 2019 04 05 of git anongit freedesktop org drm drm pull drm fix from dave airlie pretty quiet week just some amdgpu and i915 fix i915 deadlock fix gvt fix amdgpu pcie dpm feature fix powerplay fix tag drm fix 2019 04 05 of git anongit freedesktop org drm drm drm i915 gvt fix kerneldoc typo for intel_vgpu_emulate_hotplug drm i915 gvt correct the calculation of plane size drm amdgpu remove unnecessary rlc reset function on gfx9 drm i915 always backoff after a drm_modeset_lock deadlock drm i915 gvt do not let pin count of shadow mm go negative drm i915 gvt do not deliver a workload if it creation fails drm amd display vbios can t be light up hdmi when restart system drm amd powerplay fix possible hang with 3 4k monitor drm amd powerplay correct data type to avoid overflow drm amd powerplay add ecc feature bit drm amd amdgpu fix pcie dpm feature issue v3";"good"
"104";"564";"add test for response header validation";"bad"
"105";"8567";"merge branch include of github com gnuboard g5 into include";"good"
"106";"10359";"cve 2017 12899 decnet add another test this is from brian carpenter for the print decnet bug fix";"good"
"107";"10640";"added a whitelist for html attribute";"good"
"108";"11330";"usb fsl mph dr of fix regression on mpc5121e fsl ehci probing fails on mpc5121e ehci_hcd usb 2 0 enhanced host controller ehci driver fsl ehci fsl ehci 0 freescale on chip ehci host controller fsl ehci fsl ehci 0 new usb bus registered assigned bus number 1 fsl ehci fsl ehci 0 could not get controller version fsl ehci fsl ehci 0 can t setup fsl ehci fsl ehci 0 usb bus 1 deregistered fsl ehci fsl ehci 0 init fsl ehci 0 fail 22 fsl ehci probe of fsl ehci 0 failed with error 22 fix it by returning appropriate version info for mpc5121 too signed off by anatolij gustschin agust denx de signed off by greg kroah hartman gregkh linuxfoundation org";"good"
"109";"3125";"fix bug 73052 memory corruption in during deserialized object destruction";"bad"
"110";"1875";"fix bug if using an undefined member of an object for for in fix 1437";"bad"
"111";"5026";"patch to address the following issue cve 2013 6371 hash collision denial of service cve 2013 6370 buffer overflow if size_t is larger than int";"bad"
"112";"5360";"fix ldap key data segmentation cve 2014 4345 for principal entry having key with multiple kvnos due to use of keepold the ldap kdb module make an attempt to store all the key having the same kvno into a single krbprincipalkey attribute value there is a fencepost error in the loop causing currkvno to be set to the just processed value instead of the next kvno a a result the second and all following group of multiple key by kvno are each stored in two krbprincipalkey attribute value fix the loop to use the correct kvno value cve 2014 4345 in mit krb5 when kadmind is configured to use ldap for the kdc database an authenticated remote attacker can cause it to perform an out of bound write buffer overrun by performing multiple cpw keepold operation an off by one error while copying key information to the new database entry result in key sharing a common kvno being written to different array bucket in an array whose size is determined by the number of kvnos present after sufficient iteration the extra writes extend past the end of the null terminated array the null terminator is always written after the end of the loop so no out of bound data is read it is only written historically it ha been possible to convert an out of bound write into remote code execution in some case though the necessary exploit must be tailored to the individual application and are usually quite complicated depending on the allocated length of the array an out of bound write may also cause a segmentation fault and or application crash cvssv2 vector av n ac m au s c c i c a c e poc rl of rc c ghudson mit edu clarified commit message kaduk mit edu cve summary cvssv2 vector cherry picked from commit 81c332e29f10887c6b9deb065f81ba259f4c7e03 ticket 7980 version_fixed 1 12 2 status resolved";"bad"
"113";"10656";"key checking the input id parameter before finding asymmetric key for finding asymmetric key the input id_0 and id_1 parameter can not be null at the same time this patch add the bug_on checking for id_0 and id_1 cc david howells dhowells redhat com cc herbert xu herbert gondor apana org au cc david s miller davem davemloft net signed off by chun yi lee jlee suse com signed off by david howells dhowells redhat com";"good"
"114";"5639";"link resource x git svn id http svn ilias de svn ilias trunk 48107 21b2c9ec 7c21 0410 8b45 9bfb8ed2bfc5";"bad"
"115";"6209";"add form security token to prevent csrf issue git svn id http mantisbt svn sourceforge net svnroot mantisbt trunk 5340 f5dc347c c33d 0410 90a0 b07cc1902cb9";"bad"
"116";"7698";"cmd trace sort procs if you have more than 10 procs then currently they are sorted alphabetically a 0 10 11 19 2 20 assign explicit order to procs so that they are sorted numerically change id i6d978d2cd439aa2fcbcf147842a643f9073eef75 reviewed on http go review googlesource com 11750 reviewed by brad fitzpatrick bradfitz golang org reviewed by rus cox rsc golang org";"good"
"117";"3858";"don t assume tdrc is an instance of textidentificationframe if tdrc is encrypted framefactory createframe return unknownframe which cause problem in rebuildaggregateframes when it is assumed that tdrc is a textidentificationframe";"bad"
"118";"7803";"sctp whitespace fix fix indentation in sctp_generate_heartbeat_event signed off by karl heiss kheiss gmail com signed off by david s miller davem davemloft net";"good"
"119";"10507";"avformat gdv make fixedsize static signed off by michael niedermayer michael niedermayer cc";"good"
"120";"1722";"fix verify a given mimetype and or callback request parameter so that only fixed value are possible in order to avoid x attack vector";"bad"
